"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Curaçao,"16,777",,168 ,,"16,285",,324,4,"101,712","1,019","290,931","1,763,795","164,946 ",North America,10,982,1,,,"1,964"
Taiwan,"16,294",+7,846 ,,"15,301",+11,147,,683,35,"6,733,942","282,090","23,871,574 ",Asia,"1,465","28,217",4,0.3,,6
Mauritius,"16,189",,106 ,,"1,854",,"14,229",,"12,703",83,"358,675","281,435","1,274,451 ",Africa,79,"12,023",4,,,"11,165"
Aruba,"15,626",,169 ,,"15,291",,166,7,"145,572","1,574","177,885","1,657,180","107,342 ",North America,7,635,1,,,"1,546"
Mali,"15,450",,553 ,,"14,373",,524,,736,26,"430,420","20,507","20,989,375 ",Africa,"1,359","37,955",49,,,25
Andorra,"15,291",,130 ,,"15,064",,97,4,"197,502","1,679","193,595","2,500,517","77,422 ",Europe,5,596,0,,,"1,253"
Nicaragua,"15,134",,205 ,,"4,225",,"10,704",,"2,251",30,,,"6,724,621 ",North America,444,"32,803",,,,"1,592"
Congo,"14,833",,206 ,,"12,421",,"2,206",,"2,607",36,"188,207","33,076","5,690,181 ",Africa,384,"27,622",30,,,388
Burkina Faso,"14,458",,195 ,,"14,012",,251,,668,9,"219,242","10,136","21,629,195 ",Africa,"1,496","110,919",99,,,12
Djibouti,"13,179",,174 ,,"12,662",,343,,"13,097",173,"225,703","224,305","1,006,234 ",Africa,76,"5,783",4,,,341
Equatorial Guinea,"12,657",,154 ,,"11,601",,902,1,"8,661",105,"195,087","133,502","1,461,308 ",Africa,115,"9,489",7,,,617
Hong Kong,"12,262",,213 ,,"11,946",,103,,"1,619",28,"25,587,465","3,378,220","7,574,244 ",Asia,618,"35,560",0,,,14
Iceland,"12,147",,33 ,,"11,674",,440,1,"35,305",96,"1,081,025","3,141,994","344,057 ",Europe,28,"10,426",0,,,"1,279"
